path,filename,width,height,ratio,is_portrait,ratio_916_ok,ratio_diff,megapixels
assets/luna_stories_assets/10_famille_luna/luna_parents_balcon_paris_01.png,luna_parents_balcon_paris_01.png,558,334,1.6707,False,False,1.1082,0.19
assets/luna_stories_assets/10_famille_luna/luna_pere_bureau_face_dossier_01.png,luna_pere_bureau_face_dossier_01.png,556,355,1.5662,False,False,1.0037,0.2
assets/luna_stories_assets/06_personnage_masculin_noir/personnage_masculin_noir_avec_parents_01.png,personnage_masculin_noir_avec_parents_01.png,472,305,1.5475,False,False,0.985,0.14
assets/luna_stories_assets/06_personnage_masculin_noir/personnage_masculin_noir_avec_pere_01.png,personnage_masculin_noir_avec_pere_01.png,468,305,1.5344,False,False,0.9719,0.14
assets/luna_stories_assets/06_personnage_masculin_noir/personnage_masculin_noir_avec_mere_01.png,personnage_masculin_noir_avec_mere_01.png,472,311,1.5177,False,False,0.9552,0.15
assets/luna_stories_assets/06_personnage_masculin_noir/personnage_masculin_noir_scene_fenetre_nuit_01.png,personnage_masculin_noir_scene_fenetre_nuit_01.png,472,311,1.5177,False,False,0.9552,0.15
assets/luna_stories_assets/06_personnage_masculin_noir/personnage_masculin_noir_photo_famille_floue_01.png,personnage_masculin_noir_photo_famille_floue_01.png,468,311,1.5048,False,False,0.9423,0.15
assets/luna_stories_assets/06_personnage_masculin_noir/personnage_masculin_noir_scene_salon_seul_01.png,personnage_masculin_noir_scene_salon_seul_01.png,468,311,1.5048,False,False,0.9423,0.15
assets/luna_stories_assets/10_famille_luna/luna_pere_diner_tension_01.png,luna_pere_diner_tension_01.png,559,372,1.5027,False,False,0.9402,0.21
assets/luna_stories_assets/01_luna_adulte/luna_adulte_ceo_02_landscape.png,luna_adulte_ceo_02_landscape.png,1537,1023,1.5024,False,False,0.9399,1.57
assets/luna_stories_assets/04_univers_et_decors/decor_salon_violet_01.jpg,decor_salon_violet_01.jpg,2048,1365,1.5004,False,False,0.9379,2.8
